params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'C': 0.1, 'gamma': 0.001}",1.4608462079238078,1.2722331386144368,1.0563436947821196,1.312963649940513,1.2127412294273503,1.2174444296344444,1.5111512609050162,1.3746345207318418,1.2319913224805539,1.3811172348309075,1.303146668927099
"{'C': 0.1, 'gamma': 0.01}",1.3362984238597122,1.1529404789137987,0.9570875599859602,1.1774725244481605,1.1002458688514771,1.107323417606536,1.406614358628225,1.2542672495726463,1.1391972816901854,1.2732801957945188,1.190472735935122
"{'C': 0.1, 'gamma': 0.1}",1.0597507751532245,0.9268187088613623,0.8032116270513896,0.8775478411424182,0.8648192322327312,0.8781062763516535,1.177806220369843,1.0043852872718562,0.9557575251689792,1.02425023003325,0.9572453723636707
"{'C': 0.1, 'gamma': 1}",0.9116527827653581,0.844311471449568,0.7396885712294088,0.7733150644549537,0.7503300049023763,0.7793303100521431,1.0438013626808285,0.8853547538232476,0.838788796252754,0.8982728768643572,0.8464845994474995
"{'C': 0.1, 'gamma': 10}",1.397735014382537,1.2038826783727008,0.9979856462476926,1.251166719627835,1.1514738959461222,1.1481664053138492,1.4509342524676228,1.3057702019080908,1.1687980836395822,1.2992709827559474,1.237518388066198
"{'C': 1, 'gamma': 0.001}",1.3343477874104697,1.1511138809691068,0.9554160181684552,1.1760565380250008,1.0989380751915265,1.1059332700732123,1.4054599273223745,1.252152486683964,1.1377498809768225,1.2720764849336077,1.188924434975454
"{'C': 1, 'gamma': 0.01}",1.0471262550609604,0.9188952014281363,0.8013743376722514,0.8629658379968224,0.8571715400398654,0.8695543474343652,1.1682757991739432,0.9931240582925026,0.9495067597121241,1.0105594932126574,0.9478553630023627
"{'C': 1, 'gamma': 0.1}",0.8706745859646581,0.8423313255914918,0.7573992880417807,0.7382560044043452,0.7085110253189705,0.7401908372000686,0.9860378683566985,0.8436231189421961,0.8049393844139653,0.839509748408274,0.8131473186642448
"{'C': 1, 'gamma': 1}",0.6436373863064146,0.7414898341788548,0.6449486686663769,0.57609715546371,0.5554483742042319,0.6034925369200805,0.7648701591744674,0.6923089559429427,0.5964855571158548,0.6197408394215657,0.6438519467394499
"{'C': 1, 'gamma': 10}",1.0359488437238922,0.884221979073919,0.7823293521722448,0.9520682195939967,0.9030573984076152,0.7995718812040303,1.1861159197217022,0.9803080785945278,0.9011505128876677,0.9100016239195005,0.9334773809299095
"{'C': 10, 'gamma': 0.001}",1.0465748914883772,0.9171984228696087,0.800978884158137,0.862125892881891,0.8563426978828663,0.8683707863310584,1.1675995748006383,0.9931475300889276,0.948894022734259,1.009750168927427,0.9470982872163191
"{'C': 10, 'gamma': 0.01}",0.8877309672265663,0.8576411663725377,0.7731356917085693,0.7429750588311042,0.7227231482340999,0.7510273337400404,1.0028376061958655,0.8630214547402744,0.8215146123931074,0.8490054866692475,0.8271612526111412
"{'C': 10, 'gamma': 0.1}",0.6871922044344322,0.7742902320563371,0.6999293264535703,0.6470100499318203,0.601096357972247,0.615754946609959,0.7884823437790045,0.7201331120693589,0.6297237658685977,0.6682235854956577,0.6831835924670984
"{'C': 10, 'gamma': 1}",0.5753213791145815,0.7723166985854498,0.5128770735697912,0.49576123365903535,0.5018067283322625,0.5477670140180355,0.6287094839349222,0.6424775138154594,0.5690558124542643,0.5511953659298394,0.5797288303413641
"{'C': 10, 'gamma': 10}",0.8290580675352108,0.8319902616039587,0.7235574935725374,0.8137972319957455,0.7950785529016073,0.6315536652481525,1.0904053699119827,0.9067377478201346,0.8409354973326746,0.8411878690552526,0.8304301756977257
"{'C': 100, 'gamma': 0.001}",0.8909526841763858,0.8596525019908628,0.7748595293191923,0.7453228994130213,0.7254722685124075,0.7531255449646829,1.0062968690275447,0.8656784465274113,0.8245484115132345,0.8523993506793918,0.8298308506124135
"{'C': 100, 'gamma': 0.01}",0.7505121507894216,0.8114788442935715,0.7352593677555521,0.6817923219590574,0.6618908913828986,0.6521792504729853,0.8648822224272942,0.7864928423482442,0.7006568250925614,0.7418501096011678,0.7386994826122755
"{'C': 100, 'gamma': 0.1}",0.5813240701869653,0.7500304125840807,0.5963352346334205,0.5275056093213685,0.5559335807277183,0.5608130080548573,0.6958428294623155,0.6710238986806107,0.5645096545468185,0.6148043795137678,0.6118122677711922
"{'C': 100, 'gamma': 1}",0.6016720040048757,0.7428410744246573,0.5476833583678975,0.5172613328526885,0.553423599778626,0.5131104961112579,0.7028841595741435,0.6932816959687025,0.6118860341384169,0.556638464376865,0.6040682219598131
"{'C': 100, 'gamma': 10}",0.8290533115285792,0.8319902616039587,0.7235529692094597,0.8138041371153499,0.7950702772434867,0.6315536652481525,1.0904093587342425,0.9067376754676024,0.8409409536414785,0.8411828339005971,0.8304295443692906
"{'C': 1000, 'gamma': 0.001}",0.7734511569825269,0.8249288522828758,0.7464147212115712,0.6901274427432335,0.6809670614225809,0.669853389799704,0.8944502549357756,0.80752032372316,0.7232984202401681,0.7622796331822975,0.7573291256523893
"{'C': 1000, 'gamma': 0.01}",0.6268333286410029,0.7655956092177856,0.6759768830546786,0.624532337038852,0.6068360734187267,0.5822370154106354,0.7589724660859223,0.7071058258224606,0.6180821889899348,0.6798447761228638,0.6646016503802864
"{'C': 1000, 'gamma': 0.1}",0.6065117509677631,0.7524676229632506,0.5244752000482721,0.518857105534487,0.6384790118120222,0.5672413024612056,0.659987235422628,0.6954396141419196,0.5719656936859627,0.5984724360762979,0.6133896973113808
"{'C': 1000, 'gamma': 1}",0.6051174071277746,0.7453811283217242,0.5466788184370307,0.5181736433217886,0.560428513901365,0.5156833333034836,0.700259524205285,0.6937996994295945,0.6078754951269213,0.5573907442159101,0.6050788307390877
"{'C': 1000, 'gamma': 10}",0.8290533115285792,0.8319902616039587,0.7235529692094597,0.8138041371153499,0.7950702772434867,0.6315536652481525,1.0904093587342425,0.9067376754676024,0.8409409536414785,0.8411828339005971,0.8304295443692906
