,var_name,importance
78,range_Number_of_electrons_forming_covalent_bonds,0.2062611206835268
77,range_l_quantum_number,0.15735465451437847
73,avg_thermal_conductivity_(W/(m_K))_,0.15514849687031942
76,avg_1st_ionization_potential_(kJ/mol),0.13113160904906113
74,avg_Cohesive_energy,0.1264524870552631
75,avg_Number_of_electrons_forming_covalent_bonds,0.12270763421870665
72,avg_heat_atomization(kJ/mol),0.11182595209409299
71,range_Density_(g/mL),0.10239367341058898
64,range_Gordy_electonegativity,0.08806835045586543
69,range_Number_of_unfilled_p_valence_electrons,0.08739419305990381
70,range_valence_p,0.0873941930599038
68,avg_Gordy_electonegativity,0.08703239332600479
65,avg_Density_(g/mL),0.07995620651191475
59,range_Boiling_Point_(K),0.07646178623910874
67,range_Molar_Denstiy_(mol/ml),0.0721439332501854
60,range_gilmor_number_of_valence_electron,0.06976049149450043
66,range_number_of_valence_electrons,0.0606757964812755
62,range_valence_d,0.05911751287801319
61,range_Number_of_unfilled_d_valence_electrons,0.059117512878013055
63,avg_heat_of_vaporization_(kJ/mol)_,0.05694701626558689
57,range_heat_of_fusion_(kJ/mol)_,0.055673395021418784
41,avg_Molar_Heat_Capacity(J/mol_K),0.05448326325227396
52,range_Molar_Heat_Capacity(J/mol_K),0.05426260291115912
46,avg_Period,0.05116679749533792
54,avg_l_quantum_number,0.05068462764762279
55,avg_abs_valence,0.05014315836377146
56,range_1st_ionization_potential_(kJ/mol),0.04908032326979682
53,range_Critical_Temperature,0.04821677931749331
9,sum_Number_of_electrons_forming_covalent_bonds,0.04452822520656277
50,range_Pauling_Electronegativity,0.043876842751856805
45,range_Atomic_Radus,0.04330448786723995
58,range_Mendele_Number,0.042950406577915184
51,range_abs_valence,0.0420796745393905
0,sum_thermal_conductivity_(W/(m_K))_,0.04116780950184051
48,range_Cohesive_energy,0.03993745754010387
39,avg_Atomic_Weight,0.03762257354391774
38,avg_Atomic_Number,0.036930130136331785
36,range_Atomic_Weight,0.03626624669820612
16,avg_gilmor_number_of_valence_electron,0.03573721937656925
2,avg_Zunger_radii_sum,0.034814146417378206
44,range_heat_atomization(kJ/mol),0.03403021044357029
34,range_Period,0.033846833245027914
32,avg_group,0.0332201914865266
11,avg_Boiling_Point_(K),0.03313265595784358
37,range_Atomic_Number,0.03291838977203012
47,range_heat_of_vaporization_(kJ/mol)_,0.032411959044018515
49,avg_Critical_Temperature,0.031601610236396155
43,range_valence_s,0.0315316736681641
42,range_Number_of_unfilled_s_valence_electrons,0.03153167366816407
17,avg_polarizability(A^3),0.03130255980600035
30,range_Allred-Rockow_electronegativity,0.03129330050423913
35,sum_Density_(g/mL),0.030079090511394697
31,avg_number_of_valence_electrons,0.028801576141274897
29,avg_Melting_point_(K),0.028634005776171874
33,range_families,0.027833283381647617
18,avg_Nagle_electonegativity,0.027258132251793132
27,avg_heat_of_fusion_(kJ/mol)_,0.026017720730723014
1,sum_valence_d,0.025953602114601966
40,range_group,0.02571301220170859
13,avg_Number_of_unfilled_f_valence_electrons,0.024800892323113066
14,avg_valence_f,0.024800892323113
24,range_thermal_conductivity_(W/(m_K))_,0.024499725725836356
10,range_Melting_point_(K),0.024314120685107816
4,avg_Pauling_Electronegativity,0.02415944845000772
12,avg_families,0.02408365942880577
7,avg_valence_s,0.02400129127165811
6,avg_Number_of_unfilled_s_valence_electrons,0.024001291271658065
15,range_polarizability(A^3),0.023700540154309134
19,range_ionic_radius,0.02360501596676786
26,range_Number_of_unfilled_f_valence_electrons,0.02348412257236439
25,range_valence_f,0.023484122572364253
21,range_specific_heat_(J/g_K)_,0.02252579592315413
23,avg_valence_d,0.02224491040715911
22,avg_Number_of_unfilled_d_valence_electrons,0.022244910407159053
5,range_Nagle_electonegativity,0.020389309865947662
28,avg_specific_heat_(J/g_K)_,0.019641784099160363
3,range_outer_shell_electrons,0.019451895737355496
8,range_Covalent_Radius,0.019182452484349764
20,avg_outer_shell_electrons,0.014836991679974177
